1455733906,103707,
C,3,35080,OPTIDX,FINNIFTY,1456410600,3370000,CE
C,3,35081,OPTIDX,FINNIFTY,1456410600,3370000,PE
C,5,35082,OPTIDX,FINNIFTY,1456410600,3380000,CE
C,5,35083,OPTIDX,FINNIFTY,1456410600,3380000,PE
C,6,35084,OPTIDX,FINNIFTY,1456410600,3700000,CE
C,10,35085,OPTIDX,NIFTYNXT50,1456410600,8140000,CE
C,10,35086,OPTIDX,NIFTYNXT50,1456410600,8140000,PE
C,6,35087,OPTIDX,FINNIFTY,1456410600,3700000,PE
C,11,35088,OPTIDX,MIDCPNIFTY,1456410600,1607500,CE
C,11,35089,OPTIDX,MIDCPNIFTY,1456410600,1607500,PE
C,11,35090,OPTIDX,NIFTYNXT50,1456410600,9950000,CE
C,11,35091,OPTIDX,NIFTYNXT50,1456410600,9950000,PE
C,9,35092,OPTIDX,MIDCPNIFTY,1456410600,1612500,CE
C,9,35093,OPTIDX,MIDCPNIFTY,1456410600,1612500,PE
C,8,35094,OPTIDX,NIFTYNXT50,1459348200,8080000,CE
C,8,35095,OPTIDX,NIFTYNXT50,1459348200,8080000,PE
C,9,35096,OPTIDX,NIFTYNXT50,1459348200,8090000,CE
C,9,35097,OPTIDX,NIFTYNXT50,1459348200,8090000,PE
C,10,35098,OPTIDX,MIDCPNIFTY,1456410600,1615000,CE
C,10,35099,OPTIDX,MIDCPNIFTY,1456410600,1615000,PE
C,11,35100,OPTIDX,MIDCPNIFTY,1456410600,1617500,CE
C,11,35101,OPTIDX,MIDCPNIFTY,1456410600,1617500,PE
C,11,35102,OPTIDX,NIFTYNXT50,1459348200,8110000,CE
C,11,35103,OPTIDX,NIFTYNXT50,1459348200,8110000,PE
C,9,35104,OPTIDX,MIDCPNIFTY,1456410600,1622500,CE
C,8,35105,OPTIDX,NIFTYNXT50,1459348200,8120000,CE
C,9,35106,OPTIDX,MIDCPNIFTY,1456410600,1622500,PE
C,10,35107,OPTIDX,MIDCPNIFTY,1456410600,1625000,CE
C,10,35108,OPTIDX,MIDCPNIFTY,1456410600,1625000,PE
C,9,35109,OPTIDX,MIDCPNIFTY,1461853800,1542500,CE
C,9,35110,OPTIDX,MIDCPNIFTY,1461853800,1542500,PE
C,8,35111,OPTIDX,MIDCPNIFTY,1456410600,1840000,CE
C,8,35112,OPTIDX,MIDCPNIFTY,1456410600,1840000,PE
C,8,35113,OPTIDX,MIDCPNIFTY,1456410600,1850000,CE
C,8,35114,OPTIDX,MIDCPNIFTY,1456410600,1850000,PE
C,2,35115,OPTIDX,NIFTY,1456410600,3120000,CE
C,2,35116,OPTIDX,NIFTY,1456410600,3120000,PE
C,3,35117,OPTIDX,NIFTY,1456410600,3125000,CE
C,3,35118,OPTIDX,NIFTY,1456410600,3125000,PE
C,8,35119,OPTIDX,NIFTYNXT50,1459348200,8120000,PE
C,9,35120,OPTIDX,NIFTYNXT50,1459348200,8130000,CE
C,9,35121,OPTIDX,NIFTYNXT50,1459348200,8130000,PE
C,10,35122,OPTIDX,NIFTYNXT50,1459348200,8140000,CE
C,10,35123,OPTIDX,NIFTYNXT50,1459348200,8140000,PE
C,10,35124,OPTIDX,NIFTYNXT50,1459348200,9900000,CE
C,4,35125,OPTIDX,NIFTY,1456410600,3130000,CE
C,4,35126,OPTIDX,NIFTY,1456410600,3130000,PE
C,10,35127,OPTIDX,MIDCPNIFTY,1459348200,1625000,CE
C,10,35128,OPTIDX,NIFTYNXT50,1459348200,9900000,PE
C,11,35129,OPTIDX,NIFTYNXT50,1459348200,9950000,CE
C,10,35130,OPTIDX,MIDCPNIFTY,1459348200,1625000,PE
C,11,35131,OPTIDX,NIFTYNXT50,1459348200,9950000,PE
C,11,35132,OPTSTK,ABB,1459348200,670000,CE
C,11,35133,OPTSTK,ABB,1459348200,670000,PE
C,10,35134,OPTIDX,MIDCPNIFTY,1461853800,1545000,CE
C,10,35135,OPTIDX,MIDCPNIFTY,1461853800,1545000,PE
C,11,35136,OPTIDX,MIDCPNIFTY,1461853800,1547500,CE
C,11,35137,OPTIDX,MIDCPNIFTY,1461853800,1547500,PE
C,9,35138,OPTIDX,BANKNIFTY,1461853800,7470000,CE
C,9,35139,OPTIDX,BANKNIFTY,1461853800,7470000,PE
C,8,35140,OPTIDX,BANKNIFTY,1461853800,7480000,CE
C,8,35141,OPTIDX,BANKNIFTY,1461853800,7480000,PE
C,9,35142,OPTIDX,BANKNIFTY,1461853800,7490000,CE
C,9,35143,OPTIDX,BANKNIFTY,1461853800,7490000,PE
C,9,35144,OPTIDX,MIDCPNIFTY,1461853800,1552500,CE
C,9,35145,OPTIDX,MIDCPNIFTY,1461853800,1552500,PE
C,9,35146,OPTIDX,BANKNIFTY,1461853800,8250000,CE
C,5,35147,OPTIDX,NIFTY,1456410600,3135000,CE
C,9,35148,OPTIDX,BANKNIFTY,1461853800,8250000,PE
C,5,35149,OPTIDX,NIFTY,1456410600,3135000,PE
C,10,35150,OPTIDX,MIDCPNIFTY,1461853800,1555000,CE
C,10,35151,OPTIDX,MIDCPNIFTY,1461853800,1555000,PE
C,11,35152,OPTIDX,MIDCPNIFTY,1461853800,1557500,CE
C,11,35153,OPTIDX,MIDCPNIFTY,1461853800,1557500,PE
C,6,35154,OPTIDX,NIFTY,1456410600,3140000,CE
C,6,35155,OPTIDX,NIFTY,1456410600,3140000,PE
C,7,35156,OPTIDX,NIFTY,1456410600,3145000,CE
C,7,35157,OPTIDX,NIFTY,1456410600,3145000,PE
C,11,35158,OPTIDX,NIFTYNXT50,1456410600,8030000,CE
C,1,35159,OPTIDX,FINNIFTY,1456410600,3115000,CE
C,11,35160,OPTIDX,NIFTYNXT50,1456410600,8030000,PE
C,1,35161,OPTIDX,FINNIFTY,1456410600,3115000,PE
C,3,35162,OPTIDX,FINNIFTY,1456410600,3125000,CE
C,3,35163,OPTIDX,FINNIFTY,1456410600,3125000,PE
C,9,35164,OPTIDX,MIDCPNIFTY,1461853800,1562500,CE
C,9,35165,OPTIDX,MIDCPNIFTY,1461853800,1562500,PE
C,8,35166,OPTIDX,MIDCPNIFTY,1461853800,1770000,CE
C,8,35167,OPTIDX,MIDCPNIFTY,1461853800,1770000,PE
C,6,35168,OPTIDX,FINNIFTY,1456410600,3490000,CE
C,6,35169,OPTIDX,FINNIFTY,1456410600,3490000,PE
C,4,35170,OPTIDX,FINNIFTY,1461853800,3340000,CE
C,4,35171,OPTIDX,FINNIFTY,1461853800,3340000,PE
C,16,35172,OPTSTK,ALKEM,1456410600,715000,CE
C,16,35173,OPTSTK,ALKEM,1456410600,715000,PE
C,16,35174,OPTSTK,ALKEM,1459348200,800000,CE
C,16,35175,OPTSTK,ALKEM,1459348200,800000,PE
